bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
tahlan_bounty_hanakaze,7,spaceAdmiral,M.K.,Skye,aggressive,STDF BlackOps Fleet,Hana,MALE,scalartech,graphics/portraits/portrait_corporate03.png,Another dirty merc who is after that pirate bloodmoney? Give it your shot then.,FALSE,pirates,500000,10,"A collective of various pirate groups has put out a bounty on an STDF Admiral by the name of Skye. That man is commanding a unique Skye-class cruiser, I kid you not. From what we know, the name is pure coincidence, but who cares anyhow. There's a lot of money on his head, if you want to get your hands dirty.",tahlan_skye_hana_lancer,"tahlan_gown_standard, tahlan_filament_bridgehead, tahlan_filament_bridgehead",300,1.2,1,,,FALSE,FALSE,206,30,200
tahlan_bounty_kimono,7,spaceAdmiral,Auri,Calus,aggressive,STDF Assault Fleet,Kimono,FEMALE,scalartech,graphics/tahlan/portraits/aurica.png,"Yes, you will do for a test subject. Please try to resist.",FALSE,pirates,800000,10,"There's a new bounty here on a Spindle Protectorate admiral. Seems to be undergoing ""tests"" of a new ship currently, by which they seem to mean carving through a good few pirate fleets over the past couple days. Some people are out for revenge and that means money for us.",tahlan_sateen_kim_hailstorm,"tahlan_corset_standard, tahlan_corset_standard, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike, tahlan_tress_strike",400,1.3,1,,,FALSE,FALSE,207,30,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : ugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.  CURRENTLY DOES NOT WORK SORRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,,,
