name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Bridgehead Design,tahlan_filamentspecs,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.FilamentSpecs,"Instead of actual fighter bays, this ship instead projects a stable wormhole connected to an automated planetary aerospace facility which handles actual fighter operations. Due to the planetary facility's capacities, fighter replacement times and their decay from sustained losses are reduced by %s.",Improved fighter operations,graphics/tahlan/hullmods/tahlan_filamentspecs.png
ScalarTech Drives,tahlan_scalarspecs,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.ScalarSpecs,"ScalarTech's sophisticated drive technology is renowned for its enhanced performance at low flux, increasing the 0-flux speed boost by %s.

To ensure the ship's survival, these advanced drives are equipped with an emergency delimiter, allowing %s increase in top speed after peak performance time has passed, allowing a swift retreat from combat.

Due to interfering with the necessary subsystems, %s will %s these effects and %s will disable them entirely.

Enhanced engine shielding also reduces engine damage taken by %s.",Enhanced Drives,graphics/tahlan/hullmods/tahlan_scalarspecs.png
,,,,,,,,,,,,,,,,,,
Semi-modular Design,tahlan_gownmodule,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.GownModule,"While the Gown's structure is modular in design, the individual flux grids and systems are closely linked, leading to the following effects:",,graphics/hullmods/vast_bulk.png
Centralized Targeting Core,tahlan_centraltargeting,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.CentralTargetingCore,"A centralized targeting core extends the range of standard ballistic and energy weapons by %s and point defense weapons by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Greatly extends non-missile weapon range.,graphics/hullmods/advanced_targeting_core.png
Dual Capacitor Banks,tahlan_cycleboost,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.CycleBoost,Doubled energy weapon capacitor banks allow all mounted energy weapons to fire and recharge %s faster. Does not affect sustained beam weapons.,Energy RoF boost.,graphics/tahlan/hullmods/tahlan_cycleboost.png
Upscaled Capacitor Banks,tahlan_heavycycleboost,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.HeavyCycleBoost,"This ship's weapon mounts are linked to experimental upsized capacitor banks, allowing both energy and ballistic weapons to operate at faster cycle rates. Increases rate of fire and charge regeneration by %s and increases beam damage and flux cost by %s.",Weapon RoF boost.,graphics/tahlan/hullmods/tahlan_cycleboost.png
Integrated Autoforge,tahlan_scalarautoforge,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.ScalarAutoforge,"This ship contains a large autoforge passively producing missile ammunition during combat. Restores %s of base ammo capacity %s.

Effect increased by %s if commanding officer has the %s skill. Unaffected by hullmods that increase maximum missile ammo.

Precludes the installation of %s.",Regenerates Missiles,graphics/hullmods/missile_autofactory.png
Targeting Coprocessor,tahlan_bansheemounts,,,,,,,,TRUE,TRUE,0,0,0,0,org.niatahl.scalartech.hullmods.BansheeMounts,Increases range of non-PD weapons by %s.,Slightly increases weapon range.,graphics/hullmods/targeting_core.png
,,,,,,,,,,,,,,,,,,
ScalarTech Logistics,tahlan_chmscalartech,,,,,,,,TRUE,,0,0,0,0,org.niatahl.scalartech.hullmods.CHMScalartech,"ScalarTech Crews have not forgotten their corporation's roots in the logistics sector and know how to run a fleet efficiently. Capable of optimizing storage capacity, they can increase the fuel and cargo capacity of ships by %s and streamlined ship operations reduce monthly maintenance and fuel use by %s.

Additionally, the corporation's vast experience with drive systems allows their engineers to tickle a bit of extra performance out of ship engines while under low system stress, increasing top speed by %s of base speed while the ship's flux level remains below %s.",Efficiency,graphics/tahlan/hullmods/tahlan_chmscalar.png
